Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Secteur_Activite,Pays,Place_Boursiere,Capitalisation_Boursiere
Apple Inc.,AAPL,AAPL,Technology,United States,NMS,2829863354368
Microsoft Corporation,MSFT,MSFT,Technology,United States,NMS,2675043205120
NVIDIA Corporation,NVDA,NVDA,Technology,United States,NMS,2301163732992
"Amazon.com, Inc.",AMZN,AMZN,Consumer Cyclical,United States,NMS,1812206583808
Alphabet Inc.,GOOGL,GOOGL,Communication Services,United States,NMS,1786628538368
Alphabet Inc.,GOOG,GOOG,Communication Services,United States,NMS,1786634698752
"Meta Platforms, Inc.",META,META,Communication Services,United States,NMS,1278814191616
Berkshire Hathaway Inc. New,BRK-B,BRK-B,Financial Services,United States,NYQ,1065947758592
"Tesla, Inc.",TSLA,TSLA,Consumer Cyclical,United States,NMS,770131361792
Eli Lilly and Company,LLY,LLY,Healthcare,United States,NYQ,662904504320
Broadcom Inc.,AVGO,AVGO,Technology,United States,NMS,687848226816
Walmart Inc.,WMT,WMT,Consumer Defensive,United States,NYQ,666921795584
Visa Inc.,V,V,Financial Services,United States,NYQ,604030894080
JP Morgan Chase & Co.,JPM,JPM,Financial Services,United States,NYQ,587966054400
UnitedHealth Group Incorporated,UNH,UNH,Healthcare,United States,NYQ,480269533184
Exxon Mobil Corporation,XOM,XOM,Energy,United States,NYQ,452745854976
Mastercard Incorporated,MA,MA,Financial Services,United States,NYQ,446527242240
Costco Wholesale Corporation,COST,COST,Consumer Defensive,United States,NMS,406626598912
Procter & Gamble Company (The),PG,PG,Consumer Defensive,United States,NYQ,383969165312
Johnson & Johnson,JNJ,JNJ,Healthcare,United States,NYQ,369285431296
"Netflix, Inc.",NFLX,NFLX,Communication Services,United States,NMS,366100086784
Oracle Corporation,ORCL,ORCL,Technology,United States,NYQ,359698595840
"Home Depot, Inc. (The)",HD,HD,Consumer Cyclical,United States,NYQ,351787909120
AbbVie Inc.,ABBV,ABBV,Healthcare,United States,NYQ,330728505344
Coca-Cola Company (The),KO,KO,Consumer Defensive,United States,NYQ,300948652032
"T-Mobile US, Inc.",TMUS,TMUS,Communication Services,United States,NMS,283277131776
Bank of America Corporation,BAC,BAC,Financial Services,United States,NYQ,261460295680
Chevron Corporation,CVX,CVX,Energy,United States,NYQ,252258779136
Philip Morris International Inc,PM,PM,Consumer Defensive,United States,NYQ,234438508544
"Salesforce, Inc.",CRM,CRM,Technology,United States,NYQ,231370358784
"Cisco Systems, Inc.",CSCO,CSCO,Technology,United States,NMS,216975933440
Abbott Laboratories,ABT,ABT,Healthcare,United States,NYQ,215818780672
McDonald's Corporation,MCD,MCD,Consumer Cyclical,United States,NYQ,214416883712
International Business Machines,IBM,IBM,Technology,United States,NYQ,210934005760
Linde plc,LIN,LIN,Basic Materials,United Kingdom,NMS,207116533760
"Merck & Company, Inc.",MRK,MRK,Healthcare,United States,NYQ,205796491264
"Pepsico, Inc.",PEP,PEP,Consumer Defensive,United States,NMS,201047752704
Wells Fargo & Company,WFC,WFC,Financial Services,United States,NYQ,199109443584
AT&T Inc.,T,T,Communication Services,United States,NYQ,191226707968
Verizon Communications Inc.,VZ,VZ,Communication Services,United States,NYQ,181143388160
GE Aerospace,GE,GE,Industrials,United States,NYQ,177916198912
Accenture plc,ACN,ACN,Technology,Ireland,NYQ,178580389888
Palantir Technologies Inc.,PLTR,PLTR,Technology,United States,NMS,173580091392
Thermo Fisher Scientific Inc,TMO,TMO,Healthcare,United States,NYQ,165206360064
American Express Company,AXP,AXP,Financial Services,United States,NYQ,163835379712
"Intuitive Surgical, Inc.",ISRG,ISRG,Healthcare,United States,NMS,161789820928
Morgan Stanley,MS,MS,Financial Services,United States,NYQ,161011826688
Amgen Inc.,AMGN,AMGN,Healthcare,United States,NMS,158147788800
Intuit Inc.,INTU,INTU,Technology,United States,NMS,156982444032
RTX Corporation,RTX,RTX,Industrials,United States,NYQ,156806316032
Blackstone Inc.,BX,BX,Financial Services,United States,NYQ,152381243392
Progressive Corporation (The),PGR,PGR,Financial Services,United States,NYQ,151037853696
Walt Disney Company (The),DIS,DIS,Communication Services,United States,NYQ,151004692480
"ServiceNow, Inc.",NOW,NOW,Technology,United States,NYQ,149011349504
Adobe Inc.,ADBE,ADBE,Technology,United States,NMS,148773634048
"Goldman Sachs Group, Inc. (The)",GS,GS,Financial Services,United States,NYQ,146323046400
S&P Global Inc.,SPGI,SPGI,Financial Services,United States,NYQ,138467377152
QUALCOMM Incorporated,QCOM,QCOM,Technology,United States,NMS,140970754048
Booking Holdings Inc. Common St,BKNG,BKNG,Consumer Cyclical,United States,NMS,140580978688
"Advanced Micro Devices, Inc.",AMD,AMD,Technology,United States,NMS,139328274432
Texas Instruments Incorporated,TXN,TXN,Technology,United States,NMS,137752494080
"NextEra Energy, Inc.",NEE,NEE,Utilities,United States,NYQ,137739599872
"Caterpillar, Inc.",CAT,CAT,Industrials,United States,NYQ,137682649088
"TJX Companies, Inc. (The)",TJX,TJX,Consumer Cyclical,United States,NYQ,136464941056
"Uber Technologies, Inc.",UBER,UBER,Technology,United States,NYQ,135137230848
"Gilead Sciences, Inc.",GILD,GILD,Healthcare,United States,NMS,133701066752
Boston Scientific Corporation,BSX,BSX,Healthcare,United States,NYQ,132672569344
Stryker Corporation,SYK,SYK,Healthcare,United States,NYQ,131988045824
"Pfizer, Inc.",PFE,PFE,Healthcare,United States,NYQ,130273206272
Danaher Corporation,DHR,DHR,Healthcare,United States,NYQ,130047344640
Charles Schwab Corporation (The,SCHW,SCHW,Financial Services,United States,NYQ,125407428608
Union Pacific Corporation,UNP,UNP,Industrials,United States,NYQ,127810560000
"BlackRock, Inc.",BLK,BLK,Financial Services,United States,NYQ,127714213888
Comcast Corporation,CMCSA,CMCSA,Communication Services,United States,NMS,126210449408
"Lowe's Companies, Inc.",LOW,LOW,Consumer Cyclical,United States,NYQ,124976971776
Honeywell International Inc.,HON,HON,Industrials,United States,NMS,124128026624
Vertex Pharmaceuticals Incorpor,VRTX,VRTX,Healthcare,United States,NMS,122015776768
Deere & Company,DE,DE,Industrials,United States,NYQ,116670021632
"Automatic Data Processing, Inc.",ADP,ADP,Technology,United States,NMS,116418002944
"Marsh & McLennan Companies, Inc",MMC,MMC,Financial Services,United States,NYQ,113466269696
Bristol-Myers Squibb Company,BMY,BMY,Healthcare,United States,NYQ,112522223616
Chubb Limited,CB,CB,Financial Services,Switzerland,NYQ,112464257024
"Fiserv, Inc.",FI,FI,Technology,United States,NYQ,110932803584
"Citigroup, Inc.",C,C,Financial Services,United States,NYQ,109409959936
ConocoPhillips,COP,COP,Energy,United States,NYQ,109085229056
Medtronic plc.,MDT,MDT,Healthcare,Ireland,NYQ,106296918016
"Applied Materials, Inc.",AMAT,AMAT,Technology,United States,NMS,103139385344
American Tower Corporation (REI,AMT,AMT,Real Estate,United States,NYQ,103065542656
Boeing Company (The),BA,BA,Industrials,United States,NYQ,102771269632
Lockheed Martin Corporation,LMT,LMT,Industrials,United States,NYQ,101370716160
"Palo Alto Networks, Inc.",PANW,PANW,Technology,United States,NMS,101678694400
Southern Company (The),SO,SO,Utilities,United States,NYQ,97549393920
"Elevance Health, Inc.",ELV,ELV,Healthcare,United States,NYQ,97095131136
"Eaton Corporation, PLC",ETN,ETN,Industrials,Ireland,NYQ,96578895872
"Altria Group, Inc.",MO,MO,Consumer Defensive,United States,NYQ,94553079808
"Prologis, Inc.",PLD,PLD,Real Estate,United States,NYQ,91056955392
Starbucks Corporation,SBUX,SBUX,Consumer Cyclical,United States,NMS,93259849728
Welltower Inc.,WELL,WELL,Real Estate,United States,NYQ,92911673344
Duke Energy Corporation (Holdin,DUK,DUK,Utilities,United States,NYQ,92411232256
CME Group Inc.,CME,CME,Financial Services,United States,NMS,91703066624
"Waste Management, Inc.",WM,WM,Industrials,United States,NYQ,90605166592
Intercontinental Exchange Inc.,ICE,ICE,Financial Services,United States,NYQ,90046816256
