Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Secteur_Activite,Pays,Place_Boursiere,Capitalisation_Boursiere
Apple Inc.,AAPL,AAPL,Technology,United States,NMS,2725910413312.0
Microsoft Corporation,MSFT,MSFT,Technology,United States,NMS,2660323819520.0
NVIDIA Corporation,NVDA,NVDA,Technology,United States,NMS,2382415790080.0
"Amazon.com, Inc.",AMZN,AMZN,Consumer Cyclical,United States,NMS,1857352761344.0
Walmart Inc.,WMT,WMT,Consumer Defensive,United States,NYQ,672052543488.0
Visa Inc.,V,V,Financial Services,United States,NYQ,602468450304.0
JP Morgan Chase & Co.,JPM,JPM,Financial Services,United States,NYQ,599597842432.0
UnitedHealth Group Incorporated,UNH,UNH,Healthcare,United States,NYQ,479949389824.0
Procter & Gamble Company (The),PG,PG,Consumer Defensive,United States,NYQ,375715299328.0
Johnson & Johnson,JNJ,JNJ,Healthcare,United States,NYQ,362971627520.0
"Home Depot, Inc. (The)",HD,HD,Consumer Cyclical,United States,NYQ,339471892480.0
Coca-Cola Company (The),KO,KO,Consumer Defensive,United States,NYQ,294235078656.0
Chevron Corporation,CVX,CVX,Energy,United States,NYQ,246748086272.0
"Salesforce, Inc.",CRM,CRM,Technology,United States,NYQ,234685808640.0
"Cisco Systems, Inc.",CSCO,CSCO,Technology,United States,NMS,216458756096.0
McDonald's Corporation,MCD,MCD,Consumer Cyclical,United States,NYQ,214259712000.0
International Business Machines,IBM,IBM,Technology,United States,NYQ,209357668352.0
"Merck & Company, Inc.",MRK,MRK,Healthcare,United States,NYQ,205063929856.0
Verizon Communications Inc.,VZ,VZ,Communication Services,United States,NYQ,179249037312.0
American Express Company,AXP,AXP,Financial Services,United States,NYQ,164256055296.0
Amgen Inc.,AMGN,AMGN,Healthcare,United States,NMS,155622916096.0
Walt Disney Company (The),DIS,DIS,Communication Services,United States,NYQ,150588915712.0
"Goldman Sachs Group, Inc. (The)",GS,GS,Financial Services,United States,NYQ,144675864576.0
"Caterpillar, Inc.",CAT,CAT,Industrials,United States,NYQ,133849636864.0
Honeywell International Inc.,HON,HON,Industrials,United States,NMS,121833816064.0
Boeing Company (The),BA,BA,Industrials,United States,NYQ,104479236096.0
"Nike, Inc.",NKE,NKE,Consumer Cyclical,United States,NYQ,82079809536.0
Sherwin-Williams Company (The),SHW,SHW,Basic Materials,United States,NYQ,81189945344.0
3M Company,MMM,MMM,Industrials,United States,NYQ,69329330176.0
"The Travelers Companies, Inc.",TRV,TRV,Financial Services,United States,NYQ,53015576576.0
Alphabet Inc.,GOOG,GOOG,Communication Services,United States,NMS,1804774277120.0
Alphabet Inc.,GOOGL,GOOGL,Communication Services,United States,NMS,1800739880960.0
"Meta Platforms, Inc.",META,META,Communication Services,United States,NMS,1308001959936.0
"Tesla, Inc.",TSLA,TSLA,Consumer Cyclical,United States,NMS,750381891584.0
Broadcom Inc.,AVGO,AVGO,Technology,United States,NMS,724758560768.0
Costco Wholesale Corporation,COST,COST,Consumer Defensive,United States,NMS,402921848832.0
"Netflix, Inc.",NFLX,NFLX,Communication Services,United States,NMS,371220348928.0
"T-Mobile US, Inc.",TMUS,TMUS,Communication Services,United States,NMS,281632997376.0
ASML Holding N.V. - New York Re,ASML,ASML,Technology,Netherlands,NMS,252354609152.0
Astrazeneca PLC,AZN,AZN,Healthcare,United Kingdom,NMS,221382033408.0
Linde plc,LIN,LIN,Basic Materials,United Kingdom,NMS,201394290688.0
"Pepsico, Inc.",PEP,PEP,Consumer Defensive,United States,NMS,196357881856.0
Palantir Technologies Inc.,PLTR,PLTR,Technology,United States,NMS,182562799616.0
"Intuitive Surgical, Inc.",ISRG,ISRG,Healthcare,United States,NMS,166103449600.0
Intuit Inc.,INTU,INTU,Technology,United States,NMS,155503558656.0
Adobe Inc.,ADBE,ADBE,Technology,United States,NMS,145206345728.0
PDD Holdings Inc.,PDD,PDD,Consumer Cyclical,Ireland,NMS,138890903552.0
QUALCOMM Incorporated,QCOM,QCOM,Technology,United States,NMS,143470313472.0
Texas Instruments Incorporated,TXN,TXN,Technology,United States,NMS,140127371264.0
Booking Holdings Inc. Common St,BKNG,BKNG,Consumer Cyclical,United States,NMS,139290034176.0
"Advanced Micro Devices, Inc.",AMD,AMD,Technology,United States,NMS,135884054528.0
"Gilead Sciences, Inc.",GILD,GILD,Healthcare,United States,NMS,131544391680.0
Comcast Corporation,CMCSA,CMCSA,Communication Services,United States,NMS,126550736896.0
Vertex Pharmaceuticals Incorpor,VRTX,VRTX,Healthcare,United States,NMS,122000351232.0
"Automatic Data Processing, Inc.",ADP,ADP,Technology,United States,NMS,114420269056.0
"Applied Materials, Inc.",AMAT,AMAT,Technology,United States,NMS,107932794880.0
"Palo Alto Networks, Inc.",PANW,PANW,Technology,United States,NMS,100930519040.0
Arm Holdings plc,ARM,ARM,Technology,United Kingdom,NMS,93416013824.0
"MercadoLibre, Inc.",MELI,MELI,Consumer Cyclical,Uruguay,NMS,90988142592.0
Starbucks Corporation,SBUX,SBUX,Consumer Cyclical,United States,NMS,90874396672.0
Intel Corporation,INTC,INTC,Technology,United States,NMS,85336743936.0
"Analog Devices, Inc.",ADI,ADI,Technology,United States,NMS,84980523008.0
"Mondelez International, Inc.",MDLZ,MDLZ,Consumer Defensive,United States,NMS,84376969216.0
