Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Secteur_Activite,Pays,Place_Boursiere,Capitalisation_Boursiere
Apple Inc.,AAPL,AAPL,Technology,United States,NMS,3149833961472.0
NVIDIA Corporation,NVDA,NVDA,Technology,United States,NMS,2820151967744.0
Microsoft Corporation,MSFT,MSFT,Technology,United States,NMS,2815768395776.0
"Amazon.com, Inc.",AMZN,AMZN,Consumer Cyclical,United States,NMS,2054787956736.0
Alphabet Inc.,GOOGL,GOOGL,Communication Services,United States,NMS,1994867867648.0
Alphabet Inc.,GOOG,GOOG,Communication Services,United States,NMS,1994880319488.0
"Meta Platforms, Inc.",META,META,Communication Services,United States,NMS,1496480874496.0
Broadcom Inc.,AVGO,AVGO,Technology,United States,NMS,899765174272.0
"Tesla, Inc.",TSLA,TSLA,Consumer Cyclical,United States,NMS,774151995392.0
Costco Wholesale Corporation,COST,COST,Consumer Defensive,United States,NMS,395152949248.0
"Netflix, Inc.",NFLX,NFLX,Communication Services,United States,NMS,380776448000.0
"T-Mobile US, Inc.",TMUS,TMUS,Communication Services,United States,NMS,295824850944.0
ASML Holding N.V. - New York Re,ASML,ASML,Technology,Netherlands,NMS,276986527744.0
Astrazeneca PLC,AZN,AZN,Healthcare,United Kingdom,NMS,237206257664.0
"Cisco Systems, Inc.",CSCO,CSCO,Technology,United States,NMS,237384548352.0
Linde plc,LIN,LIN,Basic Materials,United Kingdom,NMS,214352101376.0
"Pepsico, Inc.",PEP,PEP,Consumer Defensive,United States,NMS,203448303616.0
Palantir Technologies Inc.,PLTR,PLTR,Technology,United States,NMS,186737557504.0
"Intuitive Surgical, Inc.",ISRG,ISRG,Healthcare,United States,NMS,170046914560.0
QUALCOMM Incorporated,QCOM,QCOM,Technology,United States,NMS,168045641728.0
Amgen Inc.,AMGN,AMGN,Healthcare,United States,NMS,167951777792.0
PDD Holdings Inc.,PDD,PDD,Consumer Cyclical,Ireland,NMS,164930338816.0
Adobe Inc.,ADBE,ADBE,Technology,United States,NMS,164321476608.0
Intuit Inc.,INTU,INTU,Technology,United States,NMS,162514976768.0
"Advanced Micro Devices, Inc.",AMD,AMD,Technology,United States,NMS,158985289728.0
Texas Instruments Incorporated,TXN,TXN,Technology,United States,NMS,157961781248.0
"Gilead Sciences, Inc.",GILD,GILD,Healthcare,United States,NMS,141160415232.0
Booking Holdings Inc. Common St,BKNG,BKNG,Consumer Cyclical,United States,NMS,140954402816.0
Honeywell International Inc.,HON,HON,Industrials,United States,NMS,134331752448.0
Comcast Corporation,CMCSA,CMCSA,Communication Services,United States,NMS,131201392640.0
Vertex Pharmaceuticals Incorpor,VRTX,VRTX,Healthcare,United States,NMS,129144832000.0
"Applied Materials, Inc.",AMAT,AMAT,Technology,United States,NMS,121825525760.0
"Automatic Data Processing, Inc.",ADP,ADP,Technology,United States,NMS,118216368128.0
Arm Holdings plc,ARM,ARM,Technology,United Kingdom,NMS,118100705280.0
"Palo Alto Networks, Inc.",PANW,PANW,Technology,United States,NMS,116741472256.0
Starbucks Corporation,SBUX,SBUX,Consumer Cyclical,United States,NMS,109094715392.0
"Micron Technology, Inc.",MU,MU,Technology,United States,NMS,105712443392.0
Intel Corporation,INTC,INTC,Technology,United States,NMS,102621003776.0
"Analog Devices, Inc.",ADI,ADI,Technology,United States,NMS,101079908352.0
"MercadoLibre, Inc.",MELI,MELI,Consumer Cyclical,Uruguay,NMS,100872617984.0
Lam Research Corporation,LRCX,LRCX,Technology,United States,NMS,96608256000.0
Applovin Corporation,APP,APP,Technology,United States,NMS,92468576256.0
KLA Corporation,KLAC,KLAC,Technology,United States,NMS,90562494464.0
"Mondelez International, Inc.",MDLZ,MDLZ,Consumer Defensive,United States,NMS,83678453760.0
"CrowdStrike Holdings, Inc.",CRWD,CRWD,Technology,United States,NMS,82425208832.0
Cintas Corporation,CTAS,CTAS,Industrials,United States,NMS,76907413504.0
"Airbnb, Inc.",ABNB,ABNB,Consumer Cyclical,United States,NMS,74175569920.0
"DoorDash, Inc.",DASH,DASH,Communication Services,United States,NMS,74898915328.0
"Regeneron Pharmaceuticals, Inc.",REGN,REGN,Healthcare,United States,NMS,74407690240.0
"O'Reilly Automotive, Inc.",ORLY,ORLY,Consumer Cyclical,United States,NMS,73852182528.0
"Fortinet, Inc.",FTNT,FTNT,Technology,United States,NMS,71837548544.0
MicroStrategy Incorporated,MSTR,MSTR,Technology,United States,NMS,68557910016.0
"Synopsys, Inc.",SNPS,SNPS,Technology,United States,NMS,66267037696.0
"Cadence Design Systems, Inc.",CDNS,CDNS,Technology,United States,NMS,66213527552.0
"PayPal Holdings, Inc.",PYPL,PYPL,Financial Services,United States,NMS,66190184448.0
Constellation Energy Corporatio,CEG,CEG,Utilities,United States,NMS,65657200640.0
Marriott International,MAR,MAR,Consumer Cyclical,United States,NMS,65419665408.0
"Workday, Inc.",WDAY,WDAY,Technology,United States,NMS,63100518400.0
"Roper Technologies, Inc.",ROP,ROP,Technology,United States,NMS,60444868608.0
"Marvell Technology, Inc.",MRVL,MRVL,Technology,United States,NMS,59550564352.0
American Electric Power Company,AEP,AEP,Utilities,United States,NMS,55632052224.0
CSX Corporation,CSX,CSX,Industrials,United States,NMS,55190278144.0
"Charter Communications, Inc.",CHTR,CHTR,Communication Services,United States,NMS,49028837376.0
Atlassian Corporation,TEAM,TEAM,Technology,Australia,NMS,54496002048.0
Monster Beverage Corporation,MNST,MNST,Consumer Defensive,United States,NMS,52881457152.0
"Autodesk, Inc.",ADSK,ADSK,Technology,United States,NMS,52596088832.0
"Paychex, Inc.",PAYX,PAYX,Technology,United States,NMS,51690643456.0
PACCAR Inc.,PCAR,PCAR,Industrials,United States,NMS,51651112960.0
NXP Semiconductors N.V.,NXPI,NXPI,Technology,Netherlands,NMS,50982694912.0
"Copart, Inc.",CPRT,CPRT,Industrials,United States,NMS,50526662656.0
Keurig Dr Pepper Inc.,KDP,KDP,Consumer Defensive,United States,NMS,44921991168.0
Exelon Corporation,EXC,EXC,Utilities,United States,NMS,43696914432.0
Fastenal Company,FAST,FAST,Industrials,United States,NMS,42257604608.0
"Diamondback Energy, Inc.",FANG,FANG,Energy,United States,NMS,42200498176.0
Baker Hughes Company,BKR,BKR,Energy,United States,NMS,41327276032.0
"Axon Enterprise, Inc.",AXON,AXON,Industrials,United States,NMS,40959750144.0
"Ross Stores, Inc.",ROST,ROST,Consumer Cyclical,United States,NMS,40680247296.0
"Verisk Analytics, Inc.",VRSK,VRSK,Industrials,United States,NMS,40609902592.0
Xcel Energy Inc.,XEL,XEL,Utilities,United States,NMS,39451684864.0
lululemon athletica inc.,LULU,LULU,Consumer Cyclical,Canada,NMS,37714067456.0
Cognizant Technology Solutions ,CTSH,CTSH,Technology,United States,NMS,38748217344.0
Coca-Cola Europacific Partners ,CCEP,CCEP,Consumer Defensive,United Kingdom,NMS,37997809664.0
GE HealthCare Technologies Inc.,GEHC,GEHC,Healthcare,United States,NMS,37246918656.0
The Kraft Heinz Company,KHC,KHC,Consumer Defensive,United States,NMS,36076748800.0
"Take-Two Interactive Software, ",TTWO,TTWO,Communication Services,United States,NMS,35939880960.0
Electronic Arts Inc.,EA,EA,Communication Services,United States,NMS,35892310016.0
"Old Dominion Freight Line, Inc.",ODFL,ODFL,Industrials,United States,NMS,34640580608.0
"Datadog, Inc.",DDOG,DDOG,Technology,United States,NMS,33823950848.0
"IDEXX Laboratories, Inc.",IDXX,IDXX,Healthcare,United States,NMS,33042835456.0
"CoStar Group, Inc.",CSGP,CSGP,Real Estate,United States,NMS,31817801728.0
"Zscaler, Inc.",ZS,ZS,Technology,United States,NMS,29332764672.0
Microchip Technology Incorporat,MCHP,MCHP,Technology,United States,NMS,27907428352.0
"ANSYS, Inc.",ANSS,ANSS,Technology,United States,NMS,27834705920.0
"DexCom, Inc.",DXCM,DXCM,Healthcare,United States,NMS,26760067072.0
"The Trade Desk, Inc.",TTD,TTD,Technology,United States,NGM,26729275392.0
"Warner Bros. Discovery, Inc. - ",WBD,WBD,Communication Services,United States,NMS,24277575680.0
CDW Corporation,CDW,CDW,Technology,United States,NMS,21662441472.0
Biogen Inc.,BIIB,BIIB,Healthcare,United States,NMS,20489572352.0
GlobalFoundries Inc.,GFS,GFS,Technology,United States,NMS,20188485632.0
ON Semiconductor Corporation,ON,ON,Technology,United States,NMS,17762895872.0
Coloplast B A/S,COLO-B,COLO-B.CO,Healthcare,Denmark,CPH,163841818624.0
GN Store Nord A/S,GN,GN.CO,Healthcare,Denmark,CPH,17211455488.0
Vestas Wind Systems A/S,VWS,VWS.CO,Industrials,Denmark,CPH,104824971264.0
Novo Nordisk B A/S,NOVO-B,NOVO-B.CO,Healthcare,Denmark,CPH,2317627949056.0
Ambu A/S,AMBU-B,AMBU-B.CO,Healthcare,Denmark,CPH,32033396736.0
Pandora A/S,PNDORA,PNDORA.CO,Consumer Cyclical,Denmark,CPH,86879576064.0
DSV A/S,DSV,DSV.CO,Industrials,Denmark,CPH,329862774784.0
Demant A/S,DEMANT,DEMANT.CO,Healthcare,Denmark,CPH,53423910912.0
Tryg A/S,TRYG,TRYG.CO,Financial Services,Denmark,CPH,97364271104.0
Novonesis (Novozymes A/S) B,NSIS-B,NSIS-B.CO,Basic Materials,Denmark,CPH,191779028992.0
Royal UNIBREW A/S,RBREW,RBREW.CO,Consumer Defensive,Denmark,CPH,27372810240.0
Bavarian Nordic A/S,BAVA,BAVA.CO,Healthcare,Denmark,CPH,12869823488.0
Jyske Bank A/S,JYSK,JYSK.CO,Financial Services,Denmark,CPH,35962933248.0
Danske Bank A/S,DANSKE,DANSKE.CO,Financial Services,Denmark,CPH,198889979904.0
Nordea Bank Abp,NDA-DK,NDA-DK.CO,Financial Services,Finland,CPH,340273856512.0
ORSTED A/S,ORSTED,ORSTED.CO,Utilities,Denmark,CPH,133550678016.0
ISS A/S,ISS,ISS.CO,Industrials,Denmark,CPH,28849461248.0
Sydbank A/S,SYDB,SYDB.CO,Financial Services,Denmark,CPH,22961950720.0
NKT A/S,NKT,NKT.CO,Industrials,Denmark,CPH,27022542848.0
A.P. Møller - Mærsk B A/S,MAERSK-B,MAERSK-B.CO,Industrials,Denmark,CPH,186139951104.0
A.P. Møller - Mærsk A A/S,MAERSK-A,MAERSK-A.CO,Industrials,Denmark,CPH,186038648832.0
Zealand Pharma A/S,ZEAL,ZEAL.CO,Healthcare,Denmark,CPH,41189183488.0
Carlsberg B A/S,CARL-B,CARL-B.CO,Consumer Defensive,Denmark,CPH,122731913216.0
Rockwool A/S ser. B,ROCK-B,ROCK-B.CO,Industrials,Denmark,CPH,67074318336.0
Genmab A/S,GMAB,GMAB.CO,Healthcare,Denmark,CPH,89923534848.0
Non disponible,BRK,BRK.B,Non disponible,Non disponible,Non disponible,
Eli Lilly and Company,LLY,LLY,Healthcare,United States,NYQ,720018014208.0
Walmart Inc.,WMT,WMT,Consumer Defensive,United States,NYQ,678821429248.0
Visa Inc.,V,V,Financial Services,United States,NYQ,633776242688.0
JP Morgan Chase & Co.,JPM,JPM,Financial Services,United States,NYQ,629656059904.0
Mastercard Incorporated,MA,MA,Financial Services,United States,NYQ,473933217792.0
Exxon Mobil Corporation,XOM,XOM,Energy,United States,NYQ,471534338048.0
UnitedHealth Group Incorporated,UNH,UNH,Healthcare,United States,NYQ,440452120576.0
Oracle Corporation,ORCL,ORCL,Technology,United States,NYQ,414072602624.0
Procter & Gamble Company (The),PG,PG,Consumer Defensive,United States,NYQ,395318231040.0
Johnson & Johnson,JNJ,JNJ,Healthcare,United States,NYQ,392781496320.0
AbbVie Inc.,ABBV,ABBV,Healthcare,United States,NYQ,373459812352.0
"Home Depot, Inc. (The)",HD,HD,Consumer Cyclical,United States,NYQ,344945295360.0
Bank of America Corporation,BAC,BAC,Financial Services,United States,NYQ,301603061760.0
Coca-Cola Company (The),KO,KO,Consumer Defensive,United States,NYQ,299435655168.0
Chevron Corporation,CVX,CVX,Energy,United States,NYQ,270445772800.0
"Salesforce, Inc.",CRM,CRM,Technology,United States,NYQ,261142134784.0
"Merck & Company, Inc.",MRK,MRK,Healthcare,United States,NYQ,239241248768.0
Philip Morris International Inc,PM,PM,Consumer Defensive,United States,NYQ,233990897664.0
International Business Machines,IBM,IBM,Technology,United States,NYQ,227921494016.0
Abbott Laboratories,ABT,ABT,Healthcare,United States,NYQ,225270824960.0
Wells Fargo & Company,WFC,WFC,Financial Services,United States,NYQ,225109475328.0
McDonald's Corporation,MCD,MCD,Consumer Cyclical,United States,NYQ,212552138752.0
GE Aerospace,GE,GE,Industrials,United States,NYQ,206522449920.0
Accenture plc,ACN,ACN,Technology,Ireland,NYQ,198320947200.0
Thermo Fisher Scientific Inc,TMO,TMO,Healthcare,United States,NYQ,191988121600.0
AT&T Inc.,T,T,Communication Services,United States,NYQ,187278721024.0
Verizon Communications Inc.,VZ,VZ,Communication Services,United States,NYQ,184005984256.0
American Express Company,AXP,AXP,Financial Services,United States,NYQ,180150272000.0
Morgan Stanley,MS,MS,Financial Services,United States,NYQ,180124205056.0
Walt Disney Company (The),DIS,DIS,Communication Services,United States,NYQ,175120613376.0
RTX Corporation,RTX,RTX,Industrials,United States,NYQ,172493635584.0
"ServiceNow, Inc.",NOW,NOW,Technology,United States,NYQ,167588986880.0
Blackstone Inc.,BX,BX,Financial Services,United States,NYQ,166383648768.0
Progressive Corporation (The),PGR,PGR,Financial Services,United States,NYQ,163786506240.0
"Goldman Sachs Group, Inc. (The)",GS,GS,Financial Services,United States,NYQ,163761192960.0
"Caterpillar, Inc.",CAT,CAT,Industrials,United States,NYQ,159299518464.0
"NextEra Energy, Inc.",NEE,NEE,Utilities,United States,NYQ,149607792640.0
S&P Global Inc.,SPGI,SPGI,Financial Services,United States,NYQ,147697827840.0
Danaher Corporation,DHR,DHR,Healthcare,United States,NYQ,145865162752.0
"Uber Technologies, Inc.",UBER,UBER,Technology,United States,NYQ,145207099392.0
"Pfizer, Inc.",PFE,PFE,Healthcare,United States,NYQ,145189126144.0
Union Pacific Corporation,UNP,UNP,Industrials,United States,NYQ,141578174464.0
Boston Scientific Corporation,BSX,BSX,Healthcare,United States,NYQ,140745146368.0
"BlackRock, Inc.",BLK,BLK,Financial Services,United States,NYQ,139799117824.0
Stryker Corporation,SYK,SYK,Healthcare,United States,NYQ,138765025280.0
